GEOID,MUNICIPALITY,STATE,WEBSITE_AVAILABLE,WEBSITE_URL
1600000US2836000,Jackson,Mississippi,1,https://www.jacksonms.gov/
1600000US4839148,Killeen,Texas,1,https://www.killeentexas.gov/
1600000US1232000,Hollywood,Florida,1,https://www.hollywoodfl.org/
1600000US4751560,Murfreesboro,Tennessee,1,https://www.murfreesborotn.gov/
1600000US4856000,Pasadena,Texas,1,https://www.pasadenatx.gov/
1600000US5305210,Bellevue,Washington,1,https://bellevuewa.gov/
1600000US0658072,Pomona,California,1,https://www.ci.pomona.ca.us/
1600000US0622804,Escondido,California,1,https://www.escondido.org/
1600000US1738570,Joliet,Illinois,1,https://www.joliet.gov/
1600000US4513330,Charleston,South Carolina,1,https://www.charleston-sc.gov/
1600000US4847892,Mesquite,Texas,1,https://www.cityofmesquite.com/
1600000US1751622,Naperville,Illinois,1,https://www.naperville.il.us/
1600000US1765000,Rockford,Illinois,1,https://rockfordil.gov/
1600000US0908000,Bridgeport,Connecticut,1,https://www.bridgeportct.gov/
1600000US3673000,Syracuse,New York,1,http://www.syrgov.net/
1600000US1369000,Savannah,Georgia,1,https://www.savannahga.gov/
1600000US0662938,Roseville,California,1,https://www.roseville.ca.us/
1600000US0680000,Torrance,California,1,https://www.torranceca.gov/
1600000US0628000,Fullerton,California,1,https://www.cityoffullerton.com/
1600000US0471510,Surprise,Arizona,1,https://www.surpriseaz.gov/
1600000US4845384,McAllen,Texas,1,https://www.mcallen.net/
1600000US0877290,Thornton,Colorado,1,https://www.thorntonco.gov/
1600000US0682954,Visalia,California,1,https://www.visalia.city/
1600000US2052575,Olathe,Kansas,1,https://www.olatheks.org/
1600000US1225175,Gainesville,Florida,1,https://www.cityofgainesville.org/
1600000US4983470,West Valley City,Utah,1,https://www.wvc-ut.gov/
1600000US0653980,Orange,California,1,https://cityoforange.org/
1600000US4819972,Denton,Texas,1,https://www.cityofdenton.com/
1600000US2684000,Warren,Michigan,1,https://www.cityofwarren.org/
1600000US0656000,Pasadena,California,1,https://www.cityofpasadena.net/
1600000US4876000,Waco,Texas,1,https://www.waco-texas.com/
1600000US1912000,Cedar Rapids,Iowa,1,http://www.cedar-rapids.org/
1600000US3921000,Dayton,Ohio,1,https://www.daytonohio.gov/
1600000US3421000,Elizabeth,New Jersey,1,https://www.elizabethnj.org/
1600000US5135000,Hampton,Virginia,1,https://hampton.gov/
1600000US4516000,Columbia,South Carolina,1,https://www.columbiasc.net/
1600000US5335415,Kent,Washington,1,https://www.kentwa.gov/
1600000US0973000,Stamford,Connecticut,1,https://www.stamfordct.gov/
1600000US0682590,Victorville,California,1,https://www.victorvilleca.gov/
1600000US1245975,Miramar,Florida,1,https://www.miramarfl.gov/
1600000US1214400,Coral Springs,Florida,1,https://www.coralsprings.org/
1600000US2676460,Sterling Heights,Michigan,1,https://www.sterling-heights.net/
1600000US0952000,New Haven,Connecticut,1,https://www.newhavenct.gov/
1600000US4813024,Carrollton,Texas,1,https://www.cityofcarrollton.com/
1600000US4848072,Midland,Texas,1,https://www.midlandtexas.gov/
1600000US4052500,Norman,Oklahoma,1,https://www.normanok.gov/
1600000US0669084,Santa Clara,California,1,https://www.santaclaraca.gov/
1600000US1303440,Athens-Clarke County unified government (balance),Georgia,1,https://www.accgov.com/
1600000US0678582,Thousand Oaks,California,1,https://www.toaks.org/
1600000US2071000,Topeka,Kansas,1,https://www.topeka.org/
1600000US0672016,Simi Valley,California,1,https://www.simivalley.org/
1600000US2915670,Columbia,Missouri,1,https://www.como.gov/
1600000US0681666,Vallejo,California,1,https://www.cityofvallejo.net/
1600000US3825700,Fargo,North Dakota,1,https://fargond.gov/
1600000US4202000,Allentown,Pennsylvania,1,https://www.allentownpa.gov/
1600000US4856348,Pearland,Texas,1,https://www.pearlandtx.gov/
1600000US0616000,Concord,California,1,https://www.cityofconcord.org/
1600000US4801000,Abilene,Texas,1,https://abilenetx.gov/
1600000US0803455,Arvada,Colorado,1,https://arvada.org/
1600000US0606000,Berkeley,California,1,https://www.cityofberkeley.info/
1600000US2603000,Ann Arbor,Michigan,1,https://www.a2gov.org/
1600000US2935000,Independence,Missouri,1,http://www.ci.independence.mo.us/
1600000US2754880,Rochester,Minnesota,1,https://www.rochestermn.gov/
1600000US2240735,Lafayette,Louisiana,1,https://www.lafayettela.gov/
1600000US0937000,Hartford,Connecticut,1,https://www.hartfordct.gov/
1600000US4815976,College Station,Texas,1,https://www.cstx.gov/
1600000US0614218,Clovis,California,1,https://cityofclovis.com/
1600000US0623182,Fairfield,California,1,https://www.fairfield.ca.gov/
1600000US1254000,Palm Bay,Florida,1,https://www.palmbayflorida.org/
1600000US4861796,Richardson,Texas,1,https://www.cor.net/
1600000US4863500,Round Rock,Texas,1,https://www.roundrocktexas.gov/
1600000US2511000,Cambridge,Massachusetts,1,https://www.cambridgema.gov/
1600000US1652120,Meridian,Idaho,1,https://meridiancity.org/
1600000US1276600,West Palm Beach,Florida,1,https://www.wpb.org/
1600000US1822000,Evansville,Indiana,1,https://www.vanderburghgov.org/
1600000US1212875,Clearwater,Florida,1,https://www.myclearwater.com/
1600000US3006550,Billings,Montana,1,https://ci.billings.mt.us/
1600000US4982950,West Jordan,Utah,1,https://www.westjordan.utah.gov/
1600000US0660620,Richmond,California,1,http://www.ci.richmond.ca.us/
1600000US0883835,Westminster,Colorado,1,https://www.cityofwestminster.us/
1600000US3345140,Manchester,New Hampshire,1,https://www.manchesternh.gov/
1600000US2537000,Lowell,Massachusetts,1,https://www.lowellma.gov/
1600000US3774440,Wilmington,North Carolina,1,https://www.wilmingtonnc.gov/
1600000US0602252,Antioch,California,1,https://www.antiochca.gov/
1600000US4807000,Beaumont,Texas,1,https://beaumonttexas.gov/
1600000US4962470,Provo,Utah,1,https://www.provo.org/
1600000US4550875,North Charleston,South Carolina,1,https://www.northcharleston.org/
1600000US1723074,Elgin,Illinois,1,https://www.cityofelgin.org/
1600000US0611194,Carlsbad,California,1,https://www.carlsbadca.gov/
